,character,role,movie,line,line_sw,line_sw_stem
4760,tony stark,hero,iron man 3,all right it's a mission,right mission,right mission
4762,tony stark,hero,iron man 3,tony needs gary,tony needs gary,toni need gari
4764,tony stark,hero,iron man 3,be quiet about it go,quiet go,quiet go
4771,tony stark,hero,iron man 3,a bomb is not a bomb when it's a misfire the stuff doesn't always work right pal it's faulty but you found a buyer didn't you sold it to the mandarin got you pal,bomb bomb misfire stuff always work right pal faulty found buyer sold mandarin got pal,bomb bomb misfir stuff alway work right pal faulti found buyer sold mandarin got pal
4785,james rhodes,hero,iron man 3,copy nobody move oh support blue zero unless the mandarin's next attack on the u s involves cheaply made sportswear i think you messed up again yes you're free uh if you weren't before it's of course yes ma'am iron patriot on the job happy to help no need to thank me ma'am it's my pleasure,copy nobody move oh support blue zero unless mandarin's next attack u involves cheaply made sportswear think messed yes free uh course yes ma'am iron patriot job happy help need thank ma'am pleasure,copi nobodi move oh support blue zero unless mandarin' next attack u involv cheapli made sportswear think mess ye free uh cours ye ma'am iron patriot job happi help need thank ma'am pleasur
4787,james rhodes,hero,iron man 3,if you want this suit you're going to have to pry my cold dead body out of it,want suit going pry cold dead body,want suit go pri cold dead bodi
4789,tony stark,hero,iron man 3,harley tell me what's happening give me a full report,harley tell what's happening give full report,harley tell what' happen give full report
4791,tony stark,hero,iron man 3,how much have you had,much,much
4793,tony stark,hero,iron man 3,can you still see straight,still see straight,still see straight
4795,tony stark,hero,iron man 3,that means you're fine give me jarvis jarvis how are we,means fine give jarvis jarvis,mean fine give jarvi jarvi
4797,tony stark,hero,iron man 3,what are we talking far east europe north africa iran pakistan syria where is it,talking far east europe north africa iran pakistan syria,talk far east europ north africa iran pakistan syria
4799,tony stark,hero,iron man 3,okay kid i'm gonna have to walk you through rebooting jarvis's speech drive but not right now harley where is he really just look on the screen and tell me where it is,okay kid i'm gonna walk rebooting jarvis's speech drive right harley really look screen tell,okay kid i'm gonna walk reboot jarvis' speech drive right harley realli look screen tell
4801,tony stark,hero,iron man 3,okay first things first i need the armour where are we at with it,okay first things first need armour,okay first thing first need armour
4804,tony stark,hero,iron man 3,what's questionable about electricity all right it's my suit and i can't i'm not gonna i don't wanna oh god not again,what's questionable electricity right suit can't i'm gonna wanna oh god,what' question electr right suit can't i'm gonna wanna oh god
4806,tony stark,hero,iron man 3,right and then you just said it by name while denying having said it,right said name denying said,right said name deni said
4808,tony stark,hero,iron man 3,god what am i gonna do,god gonna,god gonna
4810,tony stark,hero,iron man 3,right,right,right
4812,tony stark,hero,iron man 3,yes i did,yes,ye
4814,tony stark,hero,iron man 3,okay thanks kid,okay thanks kid,okay thank kid
4822,tony stark,hero,iron man 3,hey,hey,hey
4824,tony stark,hero,iron man 3,don't move,move,move
4826,tony stark,hero,iron man 3,what,,
4828,tony stark,hero,iron man 3,heard enough you're not him the mandarin the real guy where where's the mandarin where is he,heard enough mandarin real guy where's mandarin,heard enough mandarin real guy where' mandarin
4830,tony stark,hero,iron man 3,what do you mean,mean,mean
4832,tony stark,hero,iron man 3,it is,,
4834,tony stark,hero,iron man 3,uncomplicate it ladies out get out of the bed get into the bathroom sit,uncomplicate ladies get bed get bathroom sit,uncompl ladi get bed get bathroom sit
4836,tony stark,hero,iron man 3,what are you what are you a decoy you're a double right,decoy double right,decoy doubl right
4838,tony stark,hero,iron man 3,you got a minute to live fill it with words,got minute live fill words,got minut live fill word
4840,tony stark,hero,iron man 3,then how did you get here trevor,get trevor,get trevor
4842,tony stark,hero,iron man 3,next,next,next
4844,tony stark,hero,iron man 3,what did they say they'd get you off them,say they'd get,say they'd get
4846,tony stark,hero,iron man 3,did you just nod off hey,nod hey,nod hey
4848,tony stark,hero,iron man 3,he killian,killian,killian
4850,tony stark,hero,iron man 3,he created you,created,creat
4852,tony stark,hero,iron man 3,custom made terror threat,custom made terror threat,custom made terror threat
4854,tony stark,hero,iron man 3,your performance where people died,performance people died,perform peopl die
4856,tony stark,hero,iron man 3,i'm sorry but i got a best friend who's in a coma and he might not wake up so you're gonna have to answer for that you're still going down pal you under,i'm sorry got best friend who's coma might wake gonna answer still going pal,i'm sorri got best friend who' coma might wake gonna answer still go pal
4863,tony stark,hero,iron man 3,ah okay,ah okay,ah okay
4865,tony stark,hero,iron man 3,oh yeah with zip ties it's a ball,oh yeah zip ties ball,oh yeah zip tie ball
4867,tony stark,hero,iron man 3,okay so you took killian's card,okay took killian's card,okay took killian' card
4869,tony stark,hero,iron man 3,and here you are years later in a dungeon,years later dungeon,year later dungeon
4871,tony stark,hero,iron man 3,yeah,yeah,yeah
4873,tony stark,hero,iron man 3,yeah,yeah,yeah
4875,tony stark,hero,iron man 3,i'm telling you it isn't i'm on the street people are going bang they're painting the walls maya you're kidding yourself,i'm telling i'm street people going bang they're painting walls maya kidding,i'm tell i'm street peopl go bang they'r paint wall maya kid
4877,tony stark,hero,iron man 3,did i do that,,
4879,tony stark,hero,iron man 3,i remember the night not the morning is this what you've been chasing around,remember night morning chasing around,rememb night morn chase around
4881,tony stark,hero,iron man 3,i can't help you you used to have a moral psychology you used to have ideals you wanted to help people now look at you i get to wake up every morning with someone who still has their soul get me out of here come on,can't help used moral psychology used ideals wanted help people look get wake every morning someone still soul get come,can't help use moral psycholog use ideal want help peopl look get wake everi morn someon still soul get come
4883,tony stark,hero,iron man 3,you're not still pissed off about the switzerland thing are you,still pissed switzerland thing,still piss switzerland thing
4885,tony stark,hero,iron man 3,honestly i'm still trying to figure out what happened to the first mouse,honestly i'm still trying figure happened first mouse,honestli i'm still tri figur happen first mous
4887,tony stark,hero,iron man 3,you're something else,something else,someth els
4889,tony stark,hero,iron man 3,yes sir laurence oblivier,yes sir laurence oblivier,ye sir laurenc oblivi
4891,tony stark,hero,iron man 3,what's next for you in your world,what's next world,what' next world
4903,tony stark,hero,iron man 3,you are a maniac,maniac,maniac
4911,tony stark,hero,iron man 3,careful there it's a limited edition hey uh ponytail express what's the mileage count between tennessee and miami,careful limited edition hey uh ponytail express what's mileage count tennessee miami,care limit edit hey uh ponytail express what' mileag count tennesse miami
4913,tony stark,hero,iron man 3,very nice,nice,nice
4915,tony stark,hero,iron man 3,break it you bought it,break bought,break bought
4917,tony stark,hero,iron man 3,okay that wasn't mine to give away that belongs to my friend's sister and that's why i'm gonna kill you first,okay mine give away belongs friend's sister that's i'm gonna kill first,okay mine give away belong friend' sister that' i'm gonna kill first
4919,tony stark,hero,iron man 3,you'll see,see,see
4922,james rhodes,hero,iron man 3,do not open do not open don't open don't open all right let's go you you breathe fire okay,open open open open right let's go breathe fire okay,open open open open right let' go breath fire okay
4924,tony stark,hero,iron man 3,trust me you're gonna be in a puddle of blood on the ground in five four three come on two,trust gonna puddle blood ground five four three come two,trust gonna puddl blood ground five four three come two
4926,tony stark,hero,iron man 3,all right i'm gonna give you a chance to escape put down your weapons tie yourselves to those chairs i'll let you live in five four bang,right i'm gonna give chance escape put weapons tie chairs i'll let live five four bang,right i'm gonna give chanc escap put weapon tie chair i'll let live five four bang
4928,tony stark,hero,iron man 3,you should be gone by now you should've already been gone,gone already gone,gone alreadi gone
4930,tony stark,hero,iron man 3,here it comes three four,comes three four,come three four
4932,tony stark,hero,iron man 3,five four three two one told you where's the rest where's the rest,five four three two one told where's rest where's rest,five four three two one told where' rest where' rest
4934,tony stark,hero,iron man 3,ah better late than never not this time not the face phew it's good to be back hello by the way,ah better late never time face phew good back hello way,ah better late never time face phew good back hello way
4937,tony stark,hero,iron man 3,ah let's go aw crap,ah let's go aw crap,ah let' go aw crap
4938,james rhodes,hero,iron man 3,tony,tony,toni
4939,tony stark,hero,iron man 3,rhodey tell me that was you in the suit,rhodey tell suit,rhodey tell suit
4940,james rhodes,hero,iron man 3,no you got yours',got yours',got yours'
4941,tony stark,hero,iron man 3,uh mmm kind of main house as fast as you can there's somebody i'd like you to meet,uh mmm kind main house fast there's somebody i'd like meet,uh mmm kind main hous fast there' somebodi i'd like meet
4942,james rhodes,hero,iron man 3,you you you move get out,move get,move get
4943,tony stark,hero,iron man 3,the room is secure i have eyes on the mandarin,room secure eyes mandarin,room secur eye mandarin
4944,james rhodes,hero,iron man 3,what's this i had winners,what's winners,what' winner
4945,tony stark,hero,iron man 3,what have you come as,come,come
4946,james rhodes,hero,iron man 3,you make a move and i break your face,make move break face,make move break face
4947,tony stark,hero,iron man 3,i never thought people had been hurt they lied to me,never thought people hurt lied,never thought peopl hurt lie
4948,james rhodes,hero,iron man 3,this is the mandarin,mandarin,mandarin
4949,tony stark,hero,iron man 3,yeah i know it's it's embarrassing,yeah know embarrassing,yeah know embarrass
4951,tony stark,hero,iron man 3,here's how it works meryl streep,here's works meryl streep,here' work meryl streep
4952,james rhodes,hero,iron man 3,you tell him where pepper is and he'll stop doing it,tell pepper he'll stop,tell pepper he'll stop
4954,tony stark,hero,iron man 3,spill,spill,spill
4955,james rhodes,hero,iron man 3,do you know what they did to my suit,know suit,know suit
4956,tony stark,hero,iron man 3,what no but i do know it's happening off the coast something to do with a big boat i can take you there,know happening coast something big boat take,know happen coast someth big boat take
4958,james rhodes,hero,iron man 3,tony i swear to god i'm gonna blow his face off,tony swear god i'm gonna blow face,toni swear god i'm gonna blow face
4959,tony stark,hero,iron man 3,oh and this next bit may include the vice president as well is that is that important,oh next bit may include vice president well important,oh next bit may includ vice presid well import
4960,james rhodes,hero,iron man 3,yeah a little bit,yeah little bit,yeah littl bit
4961,tony stark,hero,iron man 3,so,,
4962,james rhodes,hero,iron man 3,what are we gonna do i mean we don't have any transport,gonna mean transport,gonna mean transport
4963,tony stark,hero,iron man 3,right hey ringo didn't you say something about a lovely speedboat if he's right about the location we're minutes from where pepper is,right hey ringo say something lovely speedboat he's right location we're minutes pepper,right hey ringo say someth love speedboat he' right locat we'r minut pepper
4964,james rhodes,hero,iron man 3,but we also have to figure out this vice president thing right,also figure vice president thing right,also figur vice presid thing right
4965,tony stark,hero,iron man 3,right i wonder who i'm calling right now oh that's the vice president,right wonder i'm calling right oh that's vice president,right wonder i'm call right oh that' vice presid
4967,tony stark,hero,iron man 3,sir this is tony stark,sir tony stark,sir toni stark
4969,tony stark,hero,iron man 3,we believe you're about to be drawn into the mandarin campaign we gotta get you somewhere safe as soon as possible,believe drawn mandarin campaign gotta get somewhere safe soon possible,believ drawn mandarin campaign gotta get somewher safe soon possibl
4971,james rhodes,hero,iron man 3,sir this is colonel rhodes they're using the iron patriot as a trojan horse they're gonna take out the president somehow we have to immediately alert that plane,sir colonel rhodes they're using iron patriot trojan horse they're gonna take president somehow immediately alert plane,sir colonel rhode they'r use iron patriot trojan hors they'r gonna take presid somehow immedi alert plane
4973,james rhodes,hero,iron man 3,rhodes and stark out,rhodes stark,rhode stark
4977,james rhodes,hero,iron man 3,we gotta make a decision we can either save the president or pepper we can't do both,gotta make decision either save president pepper can't,gotta make decis either save presid pepper can't
4979,tony stark,hero,iron man 3,and what about the suit i'm wearing,suit i'm wearing,suit i'm wear
4981,tony stark,hero,iron man 3,that's going to have to do,that's going,that' go
4992,tony stark,hero,iron man 3,the president now,president,presid
4994,tony stark,hero,iron man 3,walk away from that you son of a bitch how many in the air,walk away son bitch many air,walk away son bitch mani air
4996,tony stark,hero,iron man 3,how many can i carry,many carry,mani carri
4998,tony stark,hero,iron man 3,slow down slow down relax what's your name heather,slow slow relax what's name heather,slow slow relax what' name heather
5000,tony stark,hero,iron man 3,listen to me see that guy i'm gonna swing by you're just gonna grab him you got it,listen see guy i'm gonna swing gonna grab got,listen see guy i'm gonna swing gonna grab got
5002,tony stark,hero,iron man 3,i'll electrify your arm you won't be able to open your hand we can do this heather easy see eleven more to go remember that game called barrel of monkeys that's what we're going to do,i'll electrify arm able open hand heather easy see eleven go remember game called barrel monkeys that's we're going,i'll electrifi arm abl open hand heather easi see eleven go rememb game call barrel monkey that' we'r go
5004,tony stark,hero,iron man 3,come on people everybody grab your monkey nice,come people everybody grab monkey nice,come peopl everybodi grab monkey nice
5006,tony stark,hero,iron man 3,come on people come on come on come on yeah,come people come come come yeah,come peopl come come come yeah
5008,tony stark,hero,iron man 3,he's a chunky monkey let's get him hello,he's chunky monkey let's get hello,he' chunki monkey let' get hello
5010,tony stark,hero,iron man 3,nice work guys excellent good team effort all around go us all right jarvis but it's only half done we've still got to get pepper that came out of nowhere wow,nice work guys excellent good team effort around go us right jarvis half done we've still got get pepper came nowhere wow,nice work guy excel good team effort around go us right jarvi half done we'v still got get pepper came nowher wow
5011,james rhodes,hero,iron man 3,give me some good news man,give good news man,give good news man
5012,tony stark,hero,iron man 3,i think they all made it,think made,think made
5013,james rhodes,hero,iron man 3,oh thank god,oh thank god,oh thank god
5014,tony stark,hero,iron man 3,yeah but i missed the president,yeah missed president,yeah miss presid
5015,james rhodes,hero,iron man 3,you couldn't save the president with the suit how are we gonna save pepper with nothing,save president suit gonna save pepper nothing,save presid suit gonna save pepper noth
5016,tony stark,hero,iron man 3,uh say jarvis is it that time,uh say jarvis time,uh say jarvi time
5018,tony stark,hero,iron man 3,correct,correct,correct
5029,james rhodes,hero,iron man 3,come on you're not gonna freak out on me right,come gonna freak right,come gonna freak right
5030,tony stark,hero,iron man 3,i hope not,hope,hope
5031,james rhodes,hero,iron man 3,oh my god he's strung up over the oil tanker they're gonna light him up man,oh god he's strung oil tanker they're gonna light man,oh god he' strung oil tanker they'r gonna light man
5032,tony stark,hero,iron man 3,viking funeral public execution,viking funeral public execution,vike funer public execut
5033,james rhodes,hero,iron man 3,yeah death by oil,yeah death oil,yeah death oil
5036,james rhodes,hero,iron man 3,ls your gun up,ls gun,ls gun
5037,tony stark,hero,iron man 3,yep what do i do,yep,yep
5038,james rhodes,hero,iron man 3,stay on my six cover high and don't shoot me in the back,stay six cover high shoot back,stay six cover high shoot back
5039,tony stark,hero,iron man 3,six high back alright you see that nailed it,six high back alright see nailed,six high back alright see nail
5040,james rhodes,hero,iron man 3,yeah you really killed the glass,yeah really killed glass,yeah realli kill glass
5041,tony stark,hero,iron man 3,you think i was aiming for the bulb you can't hit a bulb at this distance,think aiming bulb can't hit bulb distance,think aim bulb can't hit bulb distanc
5045,tony stark,hero,iron man 3,i'm out give me you got extra magazines,i'm give got extra magazines,i'm give got extra magazin
5046,james rhodes,hero,iron man 3,they're not universal tony,they're universal tony,they'r univers toni
5047,tony stark,hero,iron man 3,i know what i'm doing i make this stuff give me another one,know i'm make stuff give another one,know i'm make stuff give anoth one
5048,james rhodes,hero,iron man 3,okay,okay,okay
5049,tony stark,hero,iron man 3,give me one of yours,give one,give one
5050,james rhodes,hero,iron man 3,i don't have one that fits that gun,one fits gun,one fit gun
5051,tony stark,hero,iron man 3,you've got like five of them here's what i'm going to do save my spot ready,got like five here's i'm going save spot ready,got like five here' i'm go save spot readi
5052,james rhodes,hero,iron man 3,what'd you see,what'd see,what'd see
5053,tony stark,hero,iron man 3,too fast nothing here we go three guys one girl all armed,fast nothing go three guys one girl armed,fast noth go three guy one girl arm
5054,james rhodes,hero,iron man 3,god i would kill for some armour right now,god would kill armour right,god would kill armour right
5055,tony stark,hero,iron man 3,you're right we need backup,right need backup,right need backup
5056,james rhodes,hero,iron man 3,yeah a bunch,yeah bunch,yeah bunch
5057,tony stark,hero,iron man 3,you know what,know,know
5058,james rhodes,hero,iron man 3,is that,,
5059,tony stark,hero,iron man 3,yep,yep,yep
5060,james rhodes,hero,iron man 3,are those,,
5061,tony stark,hero,iron man 3,yeah merry christmas buddy jarvis target extremis heat signatures disable with extreme prejudice,yeah merry christmas buddy jarvis target extremis heat signatures disable extreme prejudice,yeah merri christma buddi jarvi target extremi heat signatur disabl extrem prejudic
5063,tony stark,hero,iron man 3,what are you waiting for it's christmas take them to church,waiting christmas take church,wait christma take church
5065,tony stark,hero,iron man 3,incoming jarvis get igor to steady this thing,incoming jarvis get igor steady thing,incom jarvi get igor steadi thing
5066,james rhodes,hero,iron man 3,this is how you've been managing your down time huh,managing time huh,manag time huh
5067,tony stark,hero,iron man 3,everybody needs a hobby heartbreaker help red snapper out will you nice timing,everybody needs hobby heartbreaker help red snapper nice timing,everybodi need hobbi heartbreak help red snapper nice time
5068,james rhodes,hero,iron man 3,oh yeah that's awesome give me a suit okay,oh yeah that's awesome give suit okay,oh yeah that' awesom give suit okay
5069,tony stark,hero,iron man 3,oh i'm sorry they're only coded to me,oh i'm sorry they're coded,oh i'm sorri they'r code
5070,james rhodes,hero,iron man 3,what does that mean,mean,mean
5071,tony stark,hero,iron man 3,i got you covered,got covered,got cover
5073,james rhodes,hero,iron man 3,very funny,funny,funni
5075,tony stark,hero,iron man 3,about time,time,time
5077,tony stark,hero,iron man 3,see what happens when you hang out with my ex girlfriends,see happens hang ex girlfriends,see happen hang ex girlfriend
5079,tony stark,hero,iron man 3,yep we'll talk about it over dinner come on a little more baby,yep we'll talk dinner come little baby,yep we'll talk dinner come littl babi
5083,tony stark,hero,iron man 3,yeah you take a minute jarvis give me a suit right now oh come on,yeah take minute jarvis give suit right oh come,yeah take minut jarvi give suit right oh come
5084,james rhodes,hero,iron man 3,mr president just hold on all right i'm coming just hold on hold on oh kay bye bye brace yourself you look damn good mr president but i'm gonna need that suit back the president is secure tony i'm clearing the area,mr president hold right i'm coming hold hold oh kay bye bye brace look damn good mr president i'm gonna need suit back president secure tony i'm clearing area,mr presid hold right i'm come hold hold oh kay bye bye brace look damn good mr presid i'm gonna need suit back presid secur toni i'm clear area
5085,tony stark,hero,iron man 3,nice work,nice work,nice work
5086,james rhodes,hero,iron man 3,ready sir,ready sir,readi sir
5088,tony stark,hero,iron man 3,pep i got you relax i got you just look at me honey i can't reach any further and you can't stay there all right you've got to let go you've got to let go i'll catch you i promise no,pep got relax got look honey can't reach can't stay right got let go got let go i'll catch promise,pep got relax got look honey can't reach can't stay right got let go got let go i'll catch promis
5090,tony stark,hero,iron man 3,eject,eject,eject
5093,tony stark,hero,iron man 3,i'll be damned the prodigal son returns whatever,i'll damned prodigal son returns whatever,i'll damn prodig son return whatev
5095,tony stark,hero,iron man 3,okay okay wait wait wait slow down slow down you're right i don't deserve her here's where you're wrong she was already perfect jarvis do me a favour and blow mark,okay okay wait wait wait slow slow right deserve here's wrong already perfect jarvis favour blow mark,okay okay wait wait wait slow slow right deserv here' wrong alreadi perfect jarvi favour blow mark
5097,tony stark,hero,iron man 3,i got nothing jarvis subject at my o'clock is not a target disengage what oh what are you mad at me honey,got nothing jarvis subject o'clock target disengage oh mad honey,got noth jarvi subject o'clock target disengag oh mad honey
5099,tony stark,hero,iron man 3,you just scared the devil out of me i thought you were,scared devil thought,scare devil thought
5101,tony stark,hero,iron man 3,it's still debatable probably tipping your way a little bit why don't you dress like this at home hmm sport bra the whole deal,still debatable probably tipping way little bit dress like home hmm sport bra whole deal,still debat probabl tip way littl bit dress like home hmm sport bra whole deal
5103,tony stark,hero,iron man 3,well it's me you'll think of something come here,well think something come,well think someth come
5105,tony stark,hero,iron man 3,don't worry about it,worry,worri
5107,tony stark,hero,iron man 3,no you're not not hot,hot,hot
5109,tony stark,hero,iron man 3,no you're in a relationship with me everything will never be okay but i think i can figure this out yeah i almost had this years ago when i was drunk i think i can get you better that's what i do i fix stuff,relationship everything never okay think figure yeah almost years ago drunk think get better that's fix stuff,relationship everyth never okay think figur yeah almost year ago drunk think get better that' fix stuff
5111,tony stark,hero,iron man 3,uh i'm going to shave them down a little bit jarvis hey,uh i'm going shave little bit jarvis hey,uh i'm go shave littl bit jarvi hey
5113,tony stark,hero,iron man 3,you know what to do,know,know
5115,tony stark,hero,iron man 3,screw it it's christmas yes yes okay so far do you like it,screw christmas yes yes okay far like,screw christma ye ye okay far like
5117,tony stark,hero,iron man 3,and so as christmas morning began my journey had reached its end you start with something pure something exciting then come the mistakes the compromises we create our own demons,christmas morning began journey reached end start something pure something exciting come mistakes compromises create demons,christma morn began journey reach end start someth pure someth excit come mistak compromis creat demon
5119,tony stark,hero,iron man 3,but then i thought to myself why stop there of course there are people who say progress is dangerous but i'll bet none of those idiots ever had to live with a chestful of shrapnel and now neither will i let me tell you that was the best sleep i'd had in years,thought stop course people say progress dangerous i'll bet none idiots ever live chestful shrapnel neither let tell best sleep i'd years,thought stop cours peopl say progress danger i'll bet none idiot ever live chest shrapnel neither let tell best sleep i'd year
5122,tony stark,hero,iron man 3,so if i were to wrap this up tie it with a bow or whatever i guess i'd say my armor it was never a distraction or a hobby it was a cocoon and now i'm a changed man you can take away my house all my tricks and toys one thing you can't take away i am iron man you know and thank you by the way for listening plus something about just getting it off my chest and putting it out there in the atmosphere instead of holding this in i mean this is what gets people sick you know wow i had no idea you were such a good listener to be able to share all my intimate thoughts and my experiences with someone it just cuts the weight of it in half you know it's like a snake swallowing its own tail everything comes full circle and the fact that you've been able to help me process are you with me,wrap tie bow whatever guess i'd say armor never distraction hobby cocoon i'm changed man take away house tricks toys one thing can't take away iron man know thank way listening plus something getting chest putting atmosphere instead holding mean gets people sick know wow idea good listener able share intimate thoughts experiences someone cuts weight half know like snake swallowing tail everything comes full circle fact able help process,wrap tie bow whatev guess i'd say armor never distract hobbi cocoon i'm chang man take away hous trick toy one thing can't take away iron man know thank way listen plu someth get chest put atmospher instead hold mean get peopl sick know wow idea good listen abl share intim thought experi someon cut weight half know like snake swallow tail everyth come full circl fact abl help process
5123,bruce banner,hero,iron man 3,sorry i was yeah we were at uh,sorry yeah uh,sorri yeah uh
5124,tony stark,hero,iron man 3,are you actively napping,actively napping,activ nap
5125,bruce banner,hero,iron man 3,i was i i drifted,drifted,drift
5126,tony stark,hero,iron man 3,where did i lose you,lose,lose
5127,bruce banner,hero,iron man 3,elevator in switzerland,elevator switzerland,elev switzerland
5128,tony stark,hero,iron man 3,so you heard none of it,heard none,heard none
5129,bruce banner,hero,iron man 3,i'm sorry i'm not that kind of doctor i'm not a therapist it's not my training,i'm sorry i'm kind doctor i'm therapist training,i'm sorri i'm kind doctor i'm therapist train
5130,tony stark,hero,iron man 3,so,,
5131,bruce banner,hero,iron man 3,i don't have the,,
5132,tony stark,hero,iron man 3,what the time,time,time
5133,bruce banner,hero,iron man 3,temperament,temperament,tempera
5134,tony stark,hero,iron man 3,you know what now that i think about it oh god my original wound all right,know think oh god original wound right,know think oh god origin wound right
5135,bruce banner,hero,iron man 3,yes,yes,ye
5136,tony stark,hero,iron man 3,i'm years old i still have a nanny that was weird,i'm years old still nanny weird,i'm year old still nanni weird
5845,steve rogers,hero,captain america: the winter soldier,on your left on your left,left left,left left
5847,steve rogers,hero,captain america: the winter soldier,on your left,left,left
5849,steve rogers,hero,captain america: the winter soldier,need a medic,need medic,need medic
5851,steve rogers,hero,captain america: the winter soldier,i guess i got a late start,guess got late start,guess got late start
5853,steve rogers,hero,captain america: the winter soldier,what unit you with,unit,unit
5855,steve rogers,hero,captain america: the winter soldier,steve rogers,steve rogers,steve roger
5857,steve rogers,hero,captain america: the winter soldier,it takes some getting used to it's good to meet you sam,takes getting used good meet sam,take get use good meet sam
5859,steve rogers,hero,captain america: the winter soldier,what's that,what's,what'
5861,steve rogers,hero,captain america: the winter soldier,lying on a marshmallow feel like i'm gonna sink right to the floor how long,lying marshmallow feel like i'm gonna sink right floor long,lie marshmallow feel like i'm gonna sink right floor long
5863,steve rogers,hero,captain america: the winter soldier,well things aren't so bad food's a lot better we used to boil everything no polio is good internet so helpful i've been reading that a lot trying to catch up,well things bad food's lot better used boil everything polio good internet helpful i've reading lot trying catch,well thing bad food' lot better use boil everyth polio good internet help i'v read lot tri catch
5865,steve rogers,hero,captain america: the winter soldier,i'll put it on the list,i'll put list,i'll put list
5867,steve rogers,hero,captain america: the winter soldier,alright sam duty calls thanks for the run if that's what you wanna call running,alright sam duty calls thanks run that's wanna call running,alright sam duti call thank run that' wanna call run
5869,steve rogers,hero,captain america: the winter soldier,oh that's how it is,oh that's,oh that'
5871,steve rogers,hero,captain america: the winter soldier,i'll keep it in mind,i'll keep mind,i'll keep mind
5873,natasha romanoff,hero,captain america: the winter soldier,hey fellas either one of you know where the smithsonian is i'm here to pick up a fossil,hey fellas either one know smithsonian i'm pick fossil,hey fella either one know smithsonian i'm pick fossil
5874,steve rogers,hero,captain america: the winter soldier,that's hilarious,that's hilarious,that' hilari
5876,natasha romanoff,hero,captain america: the winter soldier,hey,hey,hey
5877,steve rogers,hero,captain america: the winter soldier,can't run everywhere,can't run everywhere,can't run everywher
5880,steve rogers,hero,captain america: the winter soldier,any demands,demands,demand
5882,steve rogers,hero,captain america: the winter soldier,why so steep,steep,steep
5884,steve rogers,hero,captain america: the winter soldier,so it's not off course it's trespassing,course trespassing,cours trespass
5885,natasha romanoff,hero,captain america: the winter soldier,i'm sure they have a good reason,i'm sure good reason,i'm sure good reason
5886,steve rogers,hero,captain america: the winter soldier,you know i'm getting a little tired of being fury's janitor,know i'm getting little tired fury's janitor,know i'm get littl tire fury' janitor
5887,natasha romanoff,hero,captain america: the winter soldier,relax it's not that complicated,relax complicated,relax complic
5888,steve rogers,hero,captain america: the winter soldier,how many pirates,many pirates,mani pirat
5890,steve rogers,hero,captain america: the winter soldier,hostages,hostages,hostag
5892,steve rogers,hero,captain america: the winter soldier,what's sitwell doing on a launch ship alright i'm gonna sweep the deck and find batroc nat you'll kill the engines and wait for instructions rumlow you sweep aft find the hostages get them to the life pods get 'em out let's move,what's sitwell launch ship alright i'm gonna sweep deck find batroc nat kill engines wait instructions rumlow sweep aft find hostages get life pods get 'em let's move,what' sitwel launch ship alright i'm gonna sweep deck find batroc nat kill engin wait instruct rumlow sweep aft find hostag get life pod get 'em let' move
5894,steve rogers,hero,captain america: the winter soldier,secure channel seven,secure channel seven,secur channel seven
5895,natasha romanoff,hero,captain america: the winter soldier,seven secure did you do anything fun saturday night,seven secure anything fun saturday night,seven secur anyth fun saturday night
5896,steve rogers,hero,captain america: the winter soldier,well all the guys from my barbershop quartet are dead so no not really,well guys barbershop quartet dead really,well guy barbershop quartet dead realli
5898,natasha romanoff,hero,captain america: the winter soldier,you know if you ask kristen out from statistics she'd probably say yes,know ask kristen statistics she'd probably say yes,know ask kristen statist she'd probabl say ye
5899,steve rogers,hero,captain america: the winter soldier,that's why i don't ask,that's ask,that' ask
5900,natasha romanoff,hero,captain america: the winter soldier,too shy or too scared,shy scared,shi scare
5901,steve rogers,hero,captain america: the winter soldier,too busy,busy,busi
5905,steve rogers,hero,captain america: the winter soldier,thanks,thanks,thank
5907,natasha romanoff,hero,captain america: the winter soldier,what about the nurse that lives across the hall from you she seems kind of nice,nurse lives across hall seems kind nice,nurs live across hall seem kind nice
5908,steve rogers,hero,captain america: the winter soldier,secure the engine room then find me a date,secure engine room find date,secur engin room find date
5909,natasha romanoff,hero,captain america: the winter soldier,i'm multitasking,i'm multitasking,i'm multitask
5914,natasha romanoff,hero,captain america: the winter soldier,hey sailor,hey sailor,hey sailor
5922,steve rogers,hero,captain america: the winter soldier,natasha what's your status status natasha,natasha what's status status natasha,natasha what' statu statu natasha
5923,natasha romanoff,hero,captain america: the winter soldier,hang on engine room secure,hang engine room secure,hang engin room secur
5925,steve rogers,hero,captain america: the winter soldier,on my mark three two one,mark three two one,mark three two one
5929,steve rogers,hero,captain america: the winter soldier,natasha batroc's on the move circle back to rumlow and protect the hostages natasha,natasha batroc's move circle back rumlow protect hostages natasha,natasha batroc' move circl back rumlow protect hostag natasha
5931,steve rogers,hero,captain america: the winter soldier,let's see,let's see,let' see
5932,natasha romanoff,hero,captain america: the winter soldier,well this is awkward,well awkward,well awkward
5933,steve rogers,hero,captain america: the winter soldier,what are you doing,,
5934,natasha romanoff,hero,captain america: the winter soldier,backing up the hard drive it's a good habit to get into,backing hard drive good habit get,back hard drive good habit get
